"Time (s)";"Illuminance (lx)"
2.067049230E-1;2.100000000E1
5.006790846E0;2.300000000E1
5.608450615E0;2.500000000E1
2.660682208E1;2.300000000E1
2.680685823E1;2.500000000E1
2.740681839E1;2.300000000E1
2.760680392E1;2.500000000E1
2.780682831E1;2.300000000E1
2.820679331E1;2.500000000E1
2.840692939E1;2.300000000E1
2.860679477E1;2.500000000E1
2.880674200E1;2.300000000E1
5.240678393E1;2.100000000E1
5.260691870E1;2.300000000E1
5.280694685E1;2.100000000E1
5.300662031E1;2.300000000E1
5.340681646E1;2.100000000E1
8.120705285E1;1.800000000E1
8.140691724E1;2.100000000E1
8.180706224E1;1.800000000E1
8.200694416E1;2.100000000E1
8.220683862E1;1.800000000E1
1.104067939E2;1.600000000E1
1.108068872E2;1.800000000E1
1.112067801E2;1.600000000E1
1.118068274E2;1.800000000E1
1.122068664E2;1.600000000E1
1.138068974E2;1.800000000E1
1.142067043E2;1.600000000E1
1.668068230E2;1.400000000E1
1.670068199E2;1.600000000E1
1.682070577E2;1.400000000E1
1.684068449E2;1.600000000E1
1.688068926E2;1.400000000E1
1.690067151E2;1.600000000E1
1.692068563E2;1.400000000E1
1.696070324E2;1.600000000E1
1.698068035E2;1.400000000E1
1.700070356E2;1.600000000E1
1.704072273E2;1.400000000E1
1.706068910E2;1.600000000E1
1.708070123E2;1.400000000E1
1.710068335E2;1.600000000E1
1.712067292E2;1.400000000E1
1.746070335E2;1.600000000E1
1.748070102E2;1.400000000E1
2.032068329E2;1.600000000E1
2.034067729E2;1.400000000E1
2.050068338E2;1.600000000E1
2.054066315E2;1.400000000E1
2.058071482E2;1.600000000E1
2.060067909E2;1.400000000E1
2.062067743E2;1.600000000E1
2.064067631E2;1.400000000E1
2.066067808E2;1.600000000E1
2.432073351E2;1.400000000E1
2.434067101E2;1.600000000E1
2.450067211E2;1.400000000E1
2.452063146E2;1.600000000E1
2.454065929E2;1.400000000E1
2.456067630E2;1.600000000E1
2.458067278E2;1.400000000E1
2.460068832E2;1.600000000E1
2.466067529E2;1.400000000E1
3.228090048E2;1.200000000E1
3.230069242E2;1.400000000E1
3.234069832E2;1.200000000E1
3.734067774E2;1.000000000E1
3.736066809E2;1.200000000E1
3.740067474E2;1.000000000E1
3.742067101E2;1.200000000E1
3.744061937E2;1.000000000E1
5.274072254E2;9.000000000E0
5.276070584E2;1.000000000E1
5.278068440E2;9.000000000E0
6.108062550E2;5.000000000E0
6.110066803E2;9.000000000E0
6.116075122E2;5.000000000E0
6.118089834E2;9.000000000E0
6.120070097E2;5.000000000E0
7.150067996E2;3.000000000E0
7.152068041E2;5.000000000E0
7.158068348E2;3.000000000E0
7.160068243E2;5.000000000E0
7.172069814E2;3.000000000E0
7.178069930E2;5.000000000E0
7.192068511E2;3.000000000E0
7.198067094E2;5.000000000E0
7.200068183E2;3.000000000E0
7.202069968E2;5.000000000E0
7.204068364E2;3.000000000E0
7.206068860E2;5.000000000E0
7.210070934E2;3.000000000E0
7.220062779E2;5.000000000E0
7.222068503E2;3.000000000E0
7.226070490E2;5.000000000E0
7.230070139E2;3.000000000E0
7.280070208E2;5.000000000E0
7.282068277E2;3.000000000E0
7.300070470E2;5.000000000E0
7.302069875E2;3.000000000E0
7.338068676E2;5.000000000E0
7.342067374E2;3.000000000E0
7.344067551E2;5.000000000E0
7.346066880E2;3.000000000E0
7.350067340E2;5.000000000E0
7.356070194E2;3.000000000E0
7.358068097E2;5.000000000E0
7.366068787E2;3.000000000E0
7.368067506E2;5.000000000E0
7.374068747E2;3.000000000E0
7.376068394E2;5.000000000E0
7.382068240E2;3.000000000E0
7.384068172E2;5.000000000E0
7.930070280E2;3.000000000E0
7.934063364E2;5.000000000E0
7.940070298E2;3.000000000E0
7.946070269E2;5.000000000E0
7.952070060E2;3.000000000E0
7.954068562E2;5.000000000E0
7.960067103E2;3.000000000E0
7.962070254E2;5.000000000E0
7.964068217E2;3.000000000E0
7.972065865E2;5.000000000E0
7.980070294E2;3.000000000E0
7.990069286E2;5.000000000E0
7.992067945E2;3.000000000E0
8.684068595E2;5.000000000E0
8.686068711E2;3.000000000E0
8.692068220E2;5.000000000E0
8.694068034E2;3.000000000E0
8.696070446E2;5.000000000E0
8.698068577E2;3.000000000E0
8.708068142E2;5.000000000E0
8.712068130E2;3.000000000E0
8.714067873E2;5.000000000E0
8.716070238E2;3.000000000E0
8.718067627E2;5.000000000E0
8.722063777E2;3.000000000E0
8.724067874E2;5.000000000E0
8.726067391E2;3.000000000E0
8.728068044E2;5.000000000E0
8.738068174E2;3.000000000E0
8.740068284E2;5.000000000E0
8.744070017E2;3.000000000E0
8.746068504E2;5.000000000E0
8.774068217E2;3.000000000E0
8.776070499E2;5.000000000E0
8.794068866E2;3.000000000E0
8.796068884E2;5.000000000E0
8.814070845E2;3.000000000E0
8.816068174E2;5.000000000E0
8.836070126E2;3.000000000E0
8.838067810E2;5.000000000E0
8.842068203E2;3.000000000E0
8.844067130E2;5.000000000E0
8.850068767E2;3.000000000E0
8.852068230E2;5.000000000E0
8.856068265E2;3.000000000E0
8.858068612E2;5.000000000E0
8.860070811E2;3.000000000E0
8.864067770E2;5.000000000E0
8.866068330E2;3.000000000E0
8.868068145E2;5.000000000E0
8.870068441E2;3.000000000E0
1.057406822E3;1.000000000E0
1.057807006E3;3.000000000E0
1.058606886E3;1.000000000E0
1.059006828E3;3.000000000E0
1.059206844E3;1.000000000E0
1.061006987E3;3.000000000E0
1.061206842E3;1.000000000E0
1.062406870E3;3.000000000E0
1.062606789E3;1.000000000E0
1.555406792E3;0.000000000E0
1.555606716E3;1.000000000E0
1.644006890E3;0.000000000E0
1.644206852E3;1.000000000E0
1.645006917E3;0.000000000E0
1.645206705E3;1.000000000E0
1.645406779E3;0.000000000E0
1.645606778E3;1.000000000E0
1.645806709E3;0.000000000E0
1.646006252E3;1.000000000E0
1.646406713E3;0.000000000E0
1.646607032E3;1.000000000E0
1.647407029E3;0.000000000E0
1.647607226E3;1.000000000E0
1.648408761E3;0.000000000E0
1.648606779E3;1.000000000E0
1.648806910E3;0.000000000E0
1.649406840E3;1.000000000E0
1.649606242E3;0.000000000E0
1.650606853E3;1.000000000E0
1.650806261E3;0.000000000E0
1.652206870E3;1.000000000E0
1.652406653E3;0.000000000E0
